job_id,title,employer,sector,source,salary_min,salary_max,location,zip,remote,posted_date,url
5474354220,Retail Merchandiser,SAS Retail Services,private,adzuna,38465.28,38465.28,"Montpelier, Washington County",05843,False,2025-11-01T03:07:01Z,https://www.adzuna.com/land/ad/5474354220?se=bmO_aCPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=782DC0F2DD3C58F3FEF6CD952CC0EEF29F051C8A
5427240990,Retail Merchandiser Team Lead,SAS Retail Services,private,adzuna,38634.69,38634.69,"Bolton Valley, Chittenden County",05843,False,2025-10-02T13:11:48Z,https://www.adzuna.com/land/ad/5427240990?se=bmO_aCPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=C7A7ABA85E2F922E9770BF15179ABC71150E098C
5404276007,Curriculum and Instruction Specialist,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,78053.75,78053.75,"Morrisville, Lamoille County",05843,False,2025-09-17T20:26:26Z,https://www.adzuna.com/land/ad/5404276007?se=bmO_aCPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=0897E3124A7E94F9F5591AB26A782083C18DC4FD
5547817786,Housekeeping Supervisor,AWOL Stowe,private,adzuna,82061.77,82061.77,"Stowe, Lamoille County",05843,False,2025-12-18T16:34:07Z,https://www.adzuna.com/details/5547817786?utm_medium=api&utm_source=516145e7
5322438983,Travel L&D,NoorStaffingNursing,private,adzuna,83387.69,83387.69,"Morrisville, Lamoille County",05843,False,2025-07-25T17:52:14Z,https://www.adzuna.com/details/5322438983?utm_medium=api&utm_source=516145e7
4982330467,"RN, Operating Room",Bretton Trova,private,adzuna,72800,106080,"Lancaster, Coos County",05843,False,2024-12-18T13:34:01Z,https://www.adzuna.com/details/4982330467?utm_medium=api&utm_source=516145e7
5499965815,Per Diem Veterinary Technician,Ethos Veterinary Health,private,adzuna,46143.5,46143.5,"Williston, Chittenden County",05843,False,2025-11-17T00:27:43Z,https://www.adzuna.com/details/5499965815?utm_medium=api&utm_source=516145e7
5545865527,Financial Service Representative,SeaComm Federal Credit Union,private,adzuna,37440,41600,"Pinewood, Chittenden County",05843,False,2025-12-17T13:54:11Z,https://www.adzuna.com/details/5545865527?utm_medium=api&utm_source=516145e7
5562517964,Retail Merchandiser (Next-Day Pay),Spar Group,private,adzuna,40541.16,40541.16,"Enosburg Falls, Franklin County",05843,False,2026-01-01T06:03:36Z,https://www.adzuna.com/land/ad/5562517964?se=bmO_aCPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=31F3EF5E9D7F9F6495DE3D741E8221272C338B29
5404276001,Curriculum and Instruction Specialist,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,55721.19,55721.19,"Underhill Center, Chittenden County",05843,False,2025-09-17T20:26:25Z,https://www.adzuna.com/land/ad/5404276001?se=bmO_aCPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=57549E276F4B7640E29ED81F7014A0A575F9AC9C
5531809841,Engineering & Estimating Manager,New England Air Systems,private,adzuna,107422.73,107422.73,"Williston, Chittenden County",05843,False,2025-12-06T17:50:54Z,https://www.adzuna.com/details/5531809841?utm_medium=api&utm_source=516145e7
4984904941,"Director, Electrical Engineering",OnLogic,private,adzuna,180000,210000,"South Burlington, Chittenden County",05843,False,2024-12-20T17:40:35Z,https://www.adzuna.com/details/4984904941?utm_medium=api&utm_source=516145e7
5569804828,LPN|LPN,Geaux Care Staffing,private,adzuna,117450.45,117450.45,"Indian Point, Orleans County",05843,False,2026-01-06T09:58:36Z,https://www.adzuna.com/details/5569804828?utm_medium=api&utm_source=516145e7
5514235701,Mortgage Field Services Inspector,FAR Inspections,private,adzuna,57470.07,57470.07,"Newark, Caledonia County",05843,False,2025-11-25T23:42:45Z,https://www.adzuna.com/details/5514235701?utm_medium=api&utm_source=516145e7
5410886193,RV Service Technician,Pete's RV Center,private,adzuna,25,25,"Queen Park, Chittenden County",05843,False,2025-09-22T14:52:10Z,https://www.adzuna.com/details/5410886193?utm_medium=api&utm_source=516145e7
5322520142,Travel Med Surg RN,NoorStaffingNursing,private,adzuna,78659.48,78659.48,"Morrisville, Lamoille County",05843,False,2025-07-25T18:56:20Z,https://www.adzuna.com/details/5322520142?utm_medium=api&utm_source=516145e7
5482670092,Event Marketing Internship - Spring 2026,"Fuse, LLC",private,adzuna,42841.81,42841.81,"Burlington, Chittenden County",05843,False,2025-11-05T14:41:52Z,https://www.adzuna.com/details/5482670092?utm_medium=api&utm_source=516145e7
