skill_name,skill_type
Advanced boolean expression language ABEL,Technology/Tool
Advanced business application programming ABAP,Technology/Tool
Advanced computer simulation language ACSL,Technology/Tool
Advanced numerical software,Technology/Tool
Advanced technologies and oceanic procedures ATOP,Technology/Tool
Advantage Information Systems The Agency Advantage,Technology/Tool
Advantage Signature Marketing Group Web Master,Technology/Tool
Advantage Software Chiropractic Advantage,Technology/Tool
Advantage Software Physical Therapy Advantage,Technology/Tool
Advantage Software Podiatry Advantage,Technology/Tool
Advantage Software Psych Advantage,Technology/Tool
Advantage Software Total Eclipse,Technology/Tool
AdvantageLaw WinVantage,Technology/Tool
Advantos Systems DataTrust Enterprise,Technology/Tool
Advent Axys,Technology/Tool
AdviceAmerica AdvisorVision,Technology/Tool
Advisory World ICE,Technology/Tool
"Adxstudio, for Microsoft",Technology/Tool
AeroHydro MultiSurf,Technology/Tool
AeroPlanner,Technology/Tool
Aeronautical charts,Technology/Tool
Aerotriangulation adjustment software,Technology/Tool
Aestiva Employee Time Clock,Technology/Tool
Aestiva Purchase Order,Technology/Tool
AetherPalm InfusiCalc,Technology/Tool
Afcom Datasafe Computer Services FlexiBake,Technology/Tool
Affiliated Computer Services ACS FIREHOUSE,Technology/Tool
After the Deadline,Technology/Tool
Ag Connections Land.db,Technology/Tool
Ag Leader Technology SMS Advanced,Technology/Tool
AgData Blue Skies Accounting,Technology/Tool
AgInfoLink Meat Inventory Tracking System MITS,Technology/Tool
AgTerra Technologies AgTrac,Technology/Tool
Age progression software,Technology/Tool
Agency Management Systems AMS 360,Technology/Tool
Agency Master,Technology/Tool
Agency Software AgencyPro,Technology/Tool
Agency management software,Technology/Tool
AgencyPro,Technology/Tool
Agent Business Builder,Technology/Tool
Agevo Farm Manager,Technology/Tool
Agile Product Lifecyle Management PLM,Technology/Tool
AgileView Software SmartView,Technology/Tool
Agilent Advanced Design System ADS,Technology/Tool
Agilent CGH Analytics,Technology/Tool
Agilent ChemStation,Technology/Tool
Agilent Technologies GeneSpring GX,Technology/Tool
Agiliance Compliance Manager,Technology/Tool
Agisoft Metashape,Technology/Tool
AgriSoft/CMC AgriSoft/ERP,Technology/Tool
Agronomic modeling software,Technology/Tool
Ahrefs Site Explorer,Technology/Tool
Ai Squared ZoomText,Technology/Tool
Aipotu,Technology/Tool
Air dispersion modeling software,Technology/Tool
Air quality modeling software,Technology/Tool
Air-Trak Cloudberry,Technology/Tool
AirMagnet Enterprise,Technology/Tool
AirSmith FlightPrompt,Technology/Tool
Aircraft noise monitoring system software,Technology/Tool
Aircraft regulation databases,Technology/Tool
Airdata,Technology/Tool
Airline Pilots Daily Aviation Log PPC,Technology/Tool
Airline global distribution systems GDS software,Technology/Tool
Airtable,Technology/Tool
Aknaf ADVANTAGE Salon Software and Spa Software,Technology/Tool
Alara CRystalView,Technology/Tool
Alarm management system software,Technology/Tool
Alarm system software,Technology/Tool
Alcestis,Technology/Tool
Alchemy Systems SISTEM,Technology/Tool
Aldata Warehouse Management,Technology/Tool
Aldelo Systems Aldelo for Restaurants Pro,Technology/Tool
Aldus FreeHand,Technology/Tool
Alert Technologies OpsCenter,Technology/Tool
Alerton Ascent Compass,Technology/Tool
Alfresco Software Alfresco,Technology/Tool
Algae,Technology/Tool
AlgoLab Raster to Vector Conversion Toolkit,Technology/Tool
Algorithm Compu-Ceph,Technology/Tool
Algorithmic language ALGOL,Technology/Tool
Algorithmic software,Technology/Tool
Alias Wavefront Design Studio,Technology/Tool
Alibre Design,Technology/Tool
Aline GRC,Technology/Tool
Aljex Inventory,Technology/Tool
AllNetic Working Time Tracker,Technology/Tool
Allaire ColdFusion,Technology/Tool
Allegro Landmark,Technology/Tool
Allen Bradley PanelView,Technology/Tool
Allergenic diet software,Technology/Tool
Alliance Automotive Shop Controller,Technology/Tool
Allied Financial Software Act4Advisors,Technology/Tool
Allscripts Canopy,Technology/Tool
Allscripts EHR,Technology/Tool
Allscripts PM,Technology/Tool
Allscripts Payerpath,Technology/Tool
Allscripts Professional EHR,Technology/Tool
Allscripts Professional PM,Technology/Tool
Allscripts Sunrise,Technology/Tool
Allscripts healthcare automation software,Technology/Tool
Allstar Software Systems Kofax,Technology/Tool
Almaris E-Learning Systems Financial Accounting Tutor,Technology/Tool
Alpha Four,Technology/Tool
Alpha Software Alpha Five,Technology/Tool
AlphaDent,Technology/Tool
